Id,PRP
0,44.661498
1,124.050418
2,17.012728
3,400.875603
4,53.769203
5,20.625244
6,59.318505
7,32.467430
8,52.572282
9,34.177524
10,94.921091
11,19.242209
12,421.485853
13,52.646660
14,139.237260
15,29.967607
16,27.174128
17,46.780346
18,31.757828
19,153.575968
20,81.939579
21,20.261716
22,59.919943
23,17.990318
24,123.767764
25,118.061595
26,69.675279
27,553.132133
28,29.428923
29,205.032046
30,200.890145
31,16.820943
32,71.336646
33,170.355398
34,43.485732
35,539.164541
36,22.990490
37,553.132133
38,33.754988
39,36.997050
40,200.890145
