Id,PRP
0,93.079232
1,200.438540
2,28.770406
3,427.113219
4,39.294725
5,5.189679
6,70.965292
7,-15.749805
8,56.873805
9,-0.979439
10,167.372243
11,2.585649
12,300.255160
13,25.776022
14,184.863242
15,14.350429
16,21.754231
17,21.460651
18,14.448165
19,168.339381
20,77.299457
21,-14.269907
22,53.940218
23,22.934082
24,200.117367
25,132.317841
26,86.742518
27,461.073392
28,-13.194661
29,355.556841
30,147.155557
31,6.285871
32,64.945520
33,203.741467
34,60.726551
35,679.533628
36,5.132695
37,461.073392
38,25.046529
39,19.172223
40,147.155557
